<ObjectType>;<ObjectID>;<ConduitType>;<Postion>;<Color/Type>;<CableID>;<CableLenght[m]>
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001004.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001004.1<-->POP-000001.1(1);789
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;ZS.KL.0004;-;0;Pulling Box;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001004.1<-->POP-000001.1(1);809
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;AVt.KL.0001;-;0;MFG18-Sockel;;0
Empty;;-;0;;;0
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001920.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001920.1<-->POP-000001.1(1);175
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0106;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001920.1<-->POP-000001.1(1);56
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002665.1<-->MFG-001920.1(1);56
